Pacific Decadal Oscillation (PDO)
Date,Value
188608,-0.93
188609,-0.76
188610,-0.72
188611,-0.46
188612,0.18
188701,0.14
188702,0.22
188703,0.12
188704,0.01
188705,-0.23
188706,-0.26
188707,-1.39
188708,-1.81
188709,-2.04
188710,-1.52
188711,-0.82
188712,-0.45
188801,-0.57
188802,-0.45
188803,-0.21
188804,0.33
188805,1.08
188806,2.16
188807,1.36
188808,0.39
188809,-0.42
188810,-0.04
188811,-0.09
188812,-0.14
188901,-0.04
188902,0.07
188903,0.23
188904,0.72
188905,0.82
188906,0.86
188907,0.03
188908,-0.54
188909,-0.63
188910,-0.23
188911,0.25
188912,0.42
189001,0.05
189002,-0.08
189003,-0.04
189004,0.29
189005,0.28
189006,-0.06
189007,-0.34
189008,-0.57
189009,-0.04
189010,0.07
189011,0.40
189012,0.40
189101,0.47
189102,0.20
189103,0.14
189104,0.31
189105,0.68
189106,0.74
189107,0.67
189108,0.41
189109,0.38
189110,0.34
189111,0.29
189112,0.42
189201,-0.14
189202,-0.23
189203,0.09
189204,-0.05
189205,-0.40
189206,-0.72
189207,-0.83
189208,-1.20
189209,-1.83
189210,-2.09
189211,-1.38
189212,-0.65
189301,-0.23
189302,-0.26
189303,-0.38
189304,-0.44
189305,-1.46
189306,-1.61
189307,-1.73
189308,-1.35
189309,-1.24
189310,-1.35
189311,-1.14
189312,-0.95
189401,-0.92
189402,-1.28
189403,-1.81
189404,-1.98
189405,-2.18
189406,-2.08
189407,-1.71
189408,-1.78
189409,-2.07
189410,-2.56
189411,-1.21
189412,-0.77
189501,-0.43
189502,-0.18
189503,-0.22
189504,0.06
189505,0.01
189506,-0.10
189507,-0.04
189508,-0.16
189509,-0.42
189510,-0.44
189511,-0.24
189512,-0.04
189601,0.67
189602,0.82
189603,0.70
189604,-0.12
189605,-0.52
189606,-0.30
189607,0.02
189608,0.36
189609,1.60
189610,1.37
189611,1.13
189612,1.11
189701,0.93
189702,0.29
189703,-0.10
189704,-0.02
189705,0.26
189706,0.79
189707,0.59
189708,0.73
189709,0.33
189710,0.48
189711,-0.20
189712,0.03
189801,0.42
189802,0.05
189803,0.14
189804,-0.16
189805,-0.55
189806,-0.52
189807,-0.40
189808,0.25
189809,0.10
189810,-0.03
189811,-0.30
189812,-0.24
189901,-0.35
189902,-0.95
189903,-0.90
189904,-0.64
189905,-0.75
189906,-0.99
189907,-1.25
189908,-0.38
189909,-0.17
189910,-0.70
189911,0.49
189912,1.00
190001,1.30
190002,1.12
190003,1.71
190004,2.37
190005,1.53
190006,1.27
190007,1.06
190008,1.04
190009,0.20
190010,-0.15
190011,0.31
190012,0.68
190101,0.96
190102,0.42
190103,0.22
190104,-0.21
190105,-0.82
190106,-0.78
190107,-1.25
190108,-0.40
190109,0.21
190110,0.49
190111,0.52
190112,1.11
190201,1.09
190202,0.62
190203,0.52
190204,0.83
190205,1.00
190206,1.86
190207,2.27
190208,1.43
190209,0.28
190210,0.86
190211,0.72
190212,0.22
190301,0.21
190302,-0.01
190303,-0.11
190304,-0.84
190305,0.01
190306,-0.17
190307,1.16
190308,1.19
190309,0.96
190310,0.67
190311,1.12
190312,1.00
190401,0.62
190402,1.61
190403,1.10
190404,-0.33
190405,-0.02
190406,-0.54
190407,-0.55
190408,0.81
190409,1.45
190410,1.40
190411,1.31
190412,1.11
190501,0.84
190502,1.52
190503,1.91
190504,2.12
190505,1.29
190506,1.78
190507,1.62
190508,2.33
190509,1.51
190510,0.68
190511,1.55
190512,-0.05
190601,0.94
190602,1.41
190603,0.50
190604,0.37
190605,1.33
190606,2.26
190607,2.13
190608,0.74
190609,-0.03
190610,0.31
190611,1.05
190612,-0.35
190701,-0.19
190702,-0.19
190703,-0.50
190704,-0.81
190705,0.22
190706,1.24
190707,1.27
190708,-0.06
190709,0.60
190710,1.52
190711,1.51
190712,1.75
190801,1.64
190802,1.30
190803,1.19
190804,0.35
190805,0.37
190806,0.10
190807,0.33
190808,-1.27
190809,0.06
190810,0.30
190811,1.39
190812,1.26
190901,0.87
190902,0.81
190903,0.88
190904,0.16
190905,-0.17
190906,-0.89
190907,-2.05
190908,-2.18
190909,-1.11
190910,0.48
190911,0.04
190912,-0.99
191001,-0.93
191002,-0.58
191003,-0.68
191004,-0.77
191005,-0.05
191006,0.09
191007,-0.08
191008,0.23
191009,0.43
191010,-1.28
191011,-0.53
191012,-0.04
191101,-0.51
191102,-0.81
191103,-0.36
191104,-0.04
191105,-0.41
191106,-0.23
191107,0.28
191108,0.87
191109,-0.59
191110,-0.71
191111,-0.48
191112,-0.60
191201,-0.43
191202,-0.32
191203,-0.57
191204,-0.40
191205,0.20
191206,0.41
191207,-0.19
191208,0.32
191209,0.80
191210,0.50
191211,0.46
191212,0.22
191301,-0.30
191302,0.10
191303,-0.27
191304,-1.08
191305,-0.17
191306,0.35
191307,0.86
191308,1.41
191309,0.72
191310,0.30
191311,0.76
191312,0.54
191401,0.04
191402,0.15
191403,0.31
191404,1.09
191405,0.21
191406,-0.67
191407,-0.78
191408,-0.89
191409,-0.85
191410,-0.41
191411,-0.15
191412,0.22
191501,-0.18
191502,-0.29
191503,0.43
191504,1.15
191505,1.49
191506,1.72
191507,1.22
191508,0.64
191509,-0.18
191510,-1.02
191511,-0.85
191512,-0.36
191601,-1.22
191602,-1.27
191603,-1.07
191604,-0.51
191605,-0.24
191606,-1.12
191607,-1.39
191608,-1.82
191609,-2.03
191610,-1.61
191611,-2.00
191612,-2.15
191701,-1.66
191702,-1.51
191703,-1.79
191704,-1.68
191705,-1.06
191706,-0.60
191707,-0.71
191708,-0.91
191709,-1.22
191710,-1.45
191711,-0.55
191712,-0.37
191801,0.44
191802,-0.04
191803,-0.70
191804,-1.13
191805,-1.11
191806,-0.01
191807,0.29
191808,0.45
191809,0.58
191810,1.37
191811,1.57
191812,0.71
191901,0.79
191902,0.36
191903,-0.13
191904,-0.38
191905,-0.68
191906,-0.91
191907,-1.49
191908,-0.81
191909,-0.04
191910,0.04
191911,-0.47
191912,-0.21
192001,-0.54
192002,-0.68
192003,-1.19
192004,-1.23
192005,-1.17
192006,-1.09
192007,-1.30
192008,-2.10
192009,-2.18
192010,-1.28
192011,-1.00
192012,-0.71
192101,-0.94
192102,-1.38
192103,-0.99
192104,-1.49
192105,-1.35
192106,-0.45
192107,-1.32
192108,-1.63
192109,-1.63
192110,-1.25
192111,-0.13
192112,0.28
192201,0.03
192202,-0.86
192203,-1.07
192204,-1.17
192205,-1.28
192206,-0.68
192207,-0.12
192208,-0.63
192209,-0.43
192210,-0.39
192211,-0.82
192212,0.22
192301,0.21
192302,-0.60
192303,-0.76
192304,-0.33
192305,-0.02
192306,-0.17
192307,0.30
192308,0.23
192309,0.11
192310,0.49
192311,0.17
192312,-0.52
192401,-0.66
192402,-0.37
192403,-0.40
192404,-1.07
192405,-0.50
192406,-0.05
192407,-0.83
192408,-1.32
192409,-1.28
192410,-1.57
192411,-0.90
192412,-0.43
192501,-0.95
192502,-0.79
192503,-0.81
192504,-0.73
192505,-0.45
192506,-0.43
192507,0.03
192508,-0.08
192509,0.32
192510,0.19
192511,0.11
192512,0.49
192601,1.12
192602,1.32
192603,1.35
192604,1.68
192605,1.95
192606,1.87
192607,1.80
192608,1.52
192609,1.33
192610,1.77
192611,2.19
192612,1.63
192701,0.95
192702,0.95
192703,0.57
192704,0.25
192705,-0.01
192706,-0.03
192707,-0.54
192708,-0.99
192709,-0.80
192710,-0.76
192711,-0.32
192712,-0.42
192801,0.22
192802,0.53
192803,0.66
192804,0.09
192805,0.36
192806,0.81
192807,-0.47
192808,-0.80
192809,-2.09
192810,-1.14
192811,0.19
192812,0.60
192901,0.65
192902,-0.03
192903,-0.15
192904,-0.06
192905,0.19
192906,1.00
192907,0.22
192908,-0.20
192909,0.63
192910,0.75
192911,0.57
192912,1.20
193001,0.74
193002,0.37
193003,-0.27
193004,-0.11
193005,-0.23
193006,0.26
193007,0.08
193008,-0.37
193009,-0.23
193010,-0.47
193011,-0.14
193012,0.63
193101,0.93
193102,0.89
193103,0.75
193104,1.23
193105,1.77
193106,1.74
193107,1.95
193108,0.36
193109,0.48
193110,0.01
193111,-0.41
193112,-0.73
193201,-1.36
193202,-1.77
193203,-1.07
193204,-0.05
193205,0.03
193206,-0.18
193207,-0.53
193208,-0.69
193209,-1.36
193210,-0.01
193211,-0.12
193212,-0.15
193301,-0.95
193302,-1.03
193303,-1.12
193304,-0.89
193305,-1.49
193306,-1.72
193307,-2.67
193308,-2.68
193309,-2.67
193310,-1.62
193311,-0.09
193312,-0.70
193401,-0.39
193402,0.07
193403,0.77
193404,1.22
193405,0.64
193406,-0.04
193407,0.20
193408,1.20
193409,0.95
193410,1.67
193411,1.65
193412,1.32
193501,0.72
193502,0.14
193503,-0.33
193504,-0.01
193505,0.68
193506,1.54
193507,0.61
193508,0.36
193509,0.17
193510,0.21
193511,0.36
193512,1.50
193601,1.73
193602,1.34
193603,1.06
193604,0.95
193605,1.46
193606,2.39
193607,2.70
193608,1.75
193609,0.88
193610,1.85
193611,2.52
193612,1.13
193701,-0.23
193702,-0.66
193703,-0.47
193704,-0.86
193705,-0.43
193706,1.31
193707,-0.41
193708,-1.02
193709,-0.47
193710,0.22
193711,0.36
193712,0.47
193801,0.97
193802,-0.18
193803,-0.85
193804,-0.25
193805,-0.68
193806,-0.39
193807,-0.43
193808,-0.75
193809,-0.18
193810,0.80
193811,-0.27
193812,0.87
193901,0.77
193902,-0.38
193903,-0.76
193904,-0.02
193905,-0.05
193906,0.21
193907,-0.93
193908,-1.06
193909,-1.34
193910,-1.42
193911,-0.76
193912,1.45
194001,1.61
194002,1.48
194003,1.69
194004,1.94
194005,1.65
194006,2.38
194007,1.80
194008,1.28
194009,1.29
194010,1.26
194011,1.71
194012,2.59
194101,2.85
194102,2.98
194103,2.67
194104,2.42
194105,2.19
194106,3.04
194107,2.65
194108,3.11
194109,2.02
194110,1.29
194111,1.62
194112,2.32
194201,2.36
194202,1.78
194203,0.93
194204,0.75
194205,0.37
194206,0.94
194207,-0.23
194208,-0.31
194209,-0.20
194210,0.32
194211,-0.13
194212,-1.39
194301,-1.38
194302,-0.94
194303,-0.15
194304,0.20
194305,0.24
194306,-0.23
194307,-1.50
194308,-2.35
194309,-2.18
194310,-2.11
194311,-0.85
194312,1.41
194401,0.92
194402,0.23
194403,-0.44
194404,-0.71
194405,-1.35
194406,-1.60
194407,-1.55
194408,-0.98
194409,-1.73
194410,-1.41
194411,-0.65
194412,-0.51
194501,0.06
194502,0.25
194503,-0.45
194504,-0.48
194505,-0.35
194506,0.16
194507,0.13
194508,-0.69
194509,-0.55
194510,-0.39
194511,-1.17
194512,-1.84
194601,-1.04
194602,1.22
194603,0.53
194604,0.17
194605,-0.49
194606,-0.46
194607,0.02
194608,-0.35
194609,-0.25
194610,-1.42
194611,-1.67
194612,-1.12
194701,0.16
194702,0.64
194703,0.09
194704,0.00
194705,0.09
194706,1.20
194707,0.88
194708,0.64
194709,0.31
194710,0.84
194711,0.95
194712,1.21
194801,0.79
194802,0.17
194803,-0.06
194804,-0.76
194805,-0.73
194806,0.11
194807,-0.47
194808,-1.13
194809,-1.13
194810,-1.34
194811,-0.44
194812,-1.71
194901,-2.65
194902,-3.01
194903,-1.76
194904,-1.46
194905,-1.25
194906,-0.99
194907,-1.28
194908,-1.36
194909,-1.24
194910,-2.00
194911,-0.80
194912,-0.66
195001,-1.60
195002,-2.02
195003,-1.79
195004,-2.02
195005,-3.03
195006,-2.09
195007,-3.33
195008,-2.73
195009,-2.41
195010,-1.76
195011,-1.30
195012,-0.89
195101,-1.04
195102,-1.39
195103,-1.74
195104,-1.37
195105,-1.29
195106,-1.55
195107,-0.19
195108,-1.57
195109,-0.66
195110,-0.05
195111,-0.39
195112,-1.25
195201,-2.16
195202,-1.44
195203,-1.54
195204,-1.83
195205,-1.75
195206,-1.73
195207,-1.99
195208,-1.26
195209,-1.22
195210,-0.71
195211,-0.42
195212,-0.69
195301,-0.16
195302,-0.43
195303,-1.29
195304,-0.89
195305,-0.56
195306,-0.28
195307,0.12
195308,-0.82
195309,-0.83
195310,-1.16
195311,-0.30
195312,0.00
195401,-1.10
195402,-1.01
195403,-1.01
195404,-1.30
195405,-0.67
195406,0.54
195407,0.02
195408,-0.16
195409,-0.99
195410,-0.07
195411,0.87
195412,0.38
195501,-0.26
195502,-1.08
195503,-1.30
195504,-2.24
195505,-1.87
195506,-2.19
195507,-2.74
195508,-2.46
195509,-2.41
195510,-3.15
195511,-2.56
195512,-2.11
195601,-2.05
195602,-2.13
195603,-2.92
195604,-2.49
195605,-1.66
195606,-1.85
195607,-1.47
195608,-0.87
195609,-0.27
195610,-1.72
195611,-2.31
195612,-1.25
195701,-1.22
195702,-1.38
195703,-0.87
195704,-0.78
195705,-0.02
195706,1.54
195707,0.62
195708,0.46
195709,1.91
195710,1.83
195711,1.58
195712,0.42
195801,0.87
195802,0.98
195803,0.70
195804,0.62
195805,1.38
195806,1.50
195807,0.55
195808,1.10
195809,0.93
195810,0.48
195811,0.39
195812,1.08
195901,1.13
195902,0.35
195903,0.00
195904,-0.07
195905,-0.01
195906,0.25
195907,-0.44
195908,-0.26
195909,-0.35
195910,0.90
195911,1.35
195912,1.01
196001,0.31
196002,0.59
196003,0.36
196004,0.12
196005,0.35
196006,0.94
196007,-0.59
196008,-0.22
196009,-0.75
196010,-0.35
196011,-0.36
196012,0.18
196101,0.88
196102,0.87
196103,0.54
196104,0.17
196105,-0.43
196106,-0.67
196107,-1.13
196108,-0.91
196109,-1.42
196110,-1.79
196111,-1.81
196112,-2.04
196201,-1.37
196202,-1.32
196203,-1.28
196204,-1.24
196205,-1.34
196206,-1.90
196207,-1.97
196208,-0.74
196209,-1.54
196210,-1.70
196211,-0.56
196212,-0.43
196301,-0.11
196302,0.28
196303,-0.25
196304,-0.44
196305,-1.16
196306,-0.74
196307,-1.25
196308,-0.96
196309,0.79
196310,0.02
196311,-0.63
196312,0.07
196401,0.50
196402,0.31
196403,-0.60
196404,-1.14
196405,-2.22
196406,-0.61
196407,-0.98
196408,-1.26
196409,-1.09
196410,-0.52
196411,-0.57
196412,-0.61
196501,-0.86
196502,-0.57
196503,-0.16
196504,0.06
196505,-0.64
196506,-0.69
196507,-0.71
196508,0.38
196509,0.89
196510,0.32
196511,0.37
196512,0.22
196601,-0.69
196602,-0.42
196603,-1.05
196604,-0.35
196605,-0.69
196606,0.09
196607,-0.12
196608,-0.27
196609,-0.46
196610,-0.71
196611,-0.83
196612,-0.37
196701,-0.30
196702,-0.31
196703,-0.85
196704,-1.11
196705,-1.45
196706,-1.17
196707,-1.18
196708,-1.50
196709,-0.68
196710,-0.14
196711,0.35
196712,-0.70
196801,-0.72
196802,-0.29
196803,-0.08
196804,-0.80
196805,-0.80
196806,0.22
196807,0.50
196808,0.10
196809,0.35
196810,-0.08
196811,0.05
196812,-0.35
196901,-0.77
196902,-1.26
196903,-1.30
196904,-1.14
196905,-0.97
196906,0.88
196907,-0.42
196908,-0.85
196909,-0.98
196910,0.87
196911,0.57
196912,1.02
197001,1.02
197002,0.90
197003,1.03
197004,0.30
197005,-0.80
197006,0.00
197007,-0.85
197008,-1.53
197009,-1.47
197010,-1.02
197011,-0.86
197012,-0.92
197101,-1.44
197102,-1.65
197103,-1.84
197104,-1.86
197105,-1.78
197106,-1.72
197107,-2.42
197108,-0.32
197109,-0.10
197110,-0.32
197111,-1.28
197112,-1.81
197201,-2.12
197202,-2.10
197203,-1.78
197204,-1.79
197205,-2.19
197206,-2.08
197207,-1.67
197208,-0.13
197209,-0.01
197210,-0.09
197211,0.09
197212,-0.42
197301,-0.30
197302,-0.61
197303,-1.02
197304,-1.54
197305,-1.76
197306,-1.55
197307,-1.42
197308,-1.50
197309,-0.97
197310,-1.30
197311,-1.52
197312,-0.95
197401,-0.93
197402,-1.40
197403,-1.32
197404,-0.73
197405,-0.77
197406,-0.40
197407,-0.09
197408,-0.12
197409,0.77
197410,0.23
197411,0.75
197412,0.43
197501,-0.58
197502,-0.89
197503,-1.14
197504,-1.84
197505,-2.07
197506,-1.61
197507,-1.01
197508,-1.44
197509,-1.55
197510,-1.49
197511,-1.62
197512,-1.41
197601,-0.95
197602,-0.99
197603,-1.39
197604,-1.38
197605,-1.02
197606,-1.15
197607,0.17
197608,0.98
197609,0.68
197610,1.10
197611,1.41
197612,1.34
197701,1.33
197702,1.48
197703,0.54
197704,-0.29
197705,-0.35
197706,-0.01
197707,-0.09
197708,0.01
197709,-0.64
197710,-0.74
197711,-0.33
197712,0.03
197801,0.63
197802,0.93
197803,1.07
197804,0.97
197805,0.71
197806,0.33
197807,-1.49
197808,-0.81
197809,-0.75
197810,0.15
197811,0.06
197812,-0.45
197901,-0.34
197902,-1.21
197903,-0.78
197904,-0.25
197905,0.45
197906,0.19
197907,0.30
197908,0.21
197909,0.88
197910,1.15
197911,0.61
197912,0.12
198001,0.11
198002,0.71
198003,0.58
198004,0.59
198005,0.57
198006,-0.73
198007,-0.30
198008,0.17
198009,-0.08
198010,1.07
198011,0.78
198012,0.51
198101,1.23
198102,1.34
198103,1.18
198104,1.08
198105,1.33
198106,1.91
198107,0.69
198108,0.08
198109,0.48
198110,0.04
198111,0.58
198112,0.69
198201,0.28
198202,-0.09
198203,-0.36
198204,-0.71
198205,-1.11
198206,-0.91
198207,0.04
198208,0.03
198209,0.64
198210,0.26
198211,-0.48
198212,0.32
198301,0.45
198302,1.06
198303,1.65
198304,1.27
198305,1.00
198306,1.80
198307,2.28
198308,1.29
198309,0.58
198310,0.72
198311,1.28
198312,1.74
198401,1.65
198402,1.31
198403,1.58
198404,0.90
198405,0.94
198406,-0.15
198407,-0.31
198408,0.18
198409,0.32
198410,0.51
198411,0.68
198412,0.60
198501,0.99
198502,0.61
198503,-0.31
198504,-0.51
198505,-0.88
198506,-0.02
198507,0.48
198508,0.20
198509,0.27
198510,0.27
198511,-0.45
198512,0.45
198601,1.08
198602,1.60
198603,1.65
198604,1.09
198605,0.78
198606,0.65
198607,1.03
198608,-0.06
198609,0.09
198610,1.02
198611,1.70
198612,1.77
198701,1.54
198702,1.57
198703,1.36
198704,1.36
198705,0.82
198706,0.20
198707,1.40
198708,1.87
198709,1.58
198710,0.83
198711,1.09
198712,0.95
198801,0.40
198802,0.52
198803,0.50
198804,0.32
198805,0.19
198806,0.09
198807,-0.28
198808,-0.75
198809,-0.90
198810,-0.37
198811,0.05
198812,-0.01
198901,-1.02
198902,-1.30
198903,-1.16
198904,-0.44
198905,-0.14
198906,0.14
198907,0.54
198908,-0.41
198909,-0.45
198910,-0.42
198911,-0.57
198912,-0.03
199001,-0.31
199002,-1.17
199003,-1.20
199004,-0.16
199005,-0.31
199006,-0.24
199007,-0.09
199008,-0.28
199009,-0.17
199010,-1.02
199011,-1.65
199012,-2.08
199101,-1.53
199102,-0.99
199103,-1.21
199104,-1.53
199105,-1.58
199106,-2.18
199107,-1.44
199108,-0.35
199109,0.42
199110,0.41
199111,0.69
199112,0.00
199201,0.21
199202,0.20
199203,0.18
199204,0.52
199205,1.25
199206,1.24
199207,1.53
199208,0.99
199209,0.56
199210,1.30
199211,1.22
199212,0.44
199301,-0.22
199302,0.11
199303,0.25
199304,1.04
199305,1.74
199306,1.96
199307,1.45
199308,1.92
199309,1.21
199310,1.36
199311,1.15
199312,0.79
199401,0.88
199402,0.38
199403,0.28
199404,0.52
199405,0.48
199406,-0.17
199407,-0.89
199408,-0.83
199409,-1.41
199410,-1.04
199411,-1.89
199412,-2.08
199501,-0.95
199502,-0.02
199503,0.27
199504,0.37
199505,0.72
199506,0.69
199507,0.88
199508,-0.15
199509,1.12
199510,0.32
199511,-0.13
199512,0.48
199601,0.89
199602,0.80
199603,0.68
199604,1.37
199605,1.87
199606,1.08
199607,0.42
199608,-0.66
199609,0.03
199610,0.26
199611,0.24
199612,-0.07
199701,0.34
199702,0.13
199703,0.21
199704,0.67
199705,1.36
199706,2.24
199707,1.43
199708,2.23
199709,1.67
199710,1.62
199711,1.35
199712,0.80
199801,0.92
199802,1.38
199803,1.23
199804,0.05
199805,-0.53
199806,-0.53
199807,-1.03
199808,-0.80
199809,-1.65
199810,-2.14
199811,-0.96
199812,-0.98
199901,-0.75
199902,-1.14
199903,-1.35
199904,-1.87
199905,-2.27
199906,-2.37
199907,-1.97
199908,-1.73
199909,-2.16
199910,-2.57
199911,-2.28
199912,-1.99
200001,-2.18
200002,-1.44
200003,-0.89
200004,-0.67
200005,-0.63
200006,-0.68
200007,-1.31
200008,-1.57
200009,-1.38
200010,-1.46
200011,-1.11
200012,-0.16
200101,0.48
200102,-0.12
200103,-0.54
200104,-1.25
200105,-1.11
200106,-1.28
200107,-2.31
200108,-1.72
200109,-2.12
200110,-1.89
200111,-1.50
200112,-1.08
200201,-0.37
200202,-1.47
200203,-1.23
200204,-1.32
200205,-1.59
200206,-1.12
200207,-0.91
200208,-0.03
200209,-0.31
200210,-0.33
200211,0.90
200212,1.51
200301,1.37
200302,0.83
200303,0.85
200304,0.15
200305,0.00
200306,-0.59
200307,0.10
200308,0.59
200309,-0.36
200310,0.54
200311,-0.42
200312,-0.59
200401,-0.39
200402,-0.27
200403,-0.19
200404,-0.12
200405,0.41
200406,-0.37
200407,-0.13
200408,0.18
200409,-0.19
200410,-0.68
200411,-1.24
200412,-0.71
200501,-0.31
200502,0.06
200503,0.52
200504,0.17
200505,0.99
200506,0.45
200507,-0.04
200508,-0.50
200509,-0.95
200510,-1.85
200511,-1.73
200512,0.01
200601,0.61
200602,0.35
200603,-0.71
200604,-0.44
200605,-0.41
200606,0.10
200607,0.28
200608,-0.76
200609,-1.57
200610,-0.41
200611,-0.67
200612,-0.29
200701,-0.47
200702,-0.58
200703,-1.09
200704,-0.59
200705,-0.52
200706,-0.30
200707,0.10
200708,0.04
200709,-0.99
200710,-1.95
